date,open,high,low,close,volume
6/2/17,48543.62,48915.64,47491.65,48555.3,221760448
6/5/17,48705.86,50163.07,48555.3,50120.93,255144496
6/6/17,50297.8,50311.01,49920.08,50144.63,231737824
6/7/17,50236.85,50349.1,49968.74,50162.81,232508384
6/8/17,50082.65,50290.49,49875.56,49958.33,268794784
6/9/17,49950.34,49961,49478.43,49526.92,206797776
6/12/17,49433.9,49526.92,47538.17,47671.8,219367440
6/13/17,47593.37,48513.23,47099.99,48071.04,317176544
6/14/17,48252.15,48601.75,47484.85,47608.64,255543392
6/15/17,47482.08,48088.63,47369.87,47442.73,355322432
6/16/17,47461.36,47527.41,46733.7,46858.56,129837888
6/19/17,46914.07,47083.26,46312.95,46593.34,170261216
6/20/17,46666.51,46777.33,44823.56,44914.44,294973344
6/21/17,44699.09,45765.35,43826.67,45474.46,346468928
6/22/17,45611.28,46464.38,45474.46,46332.31,294870560
6/29/17,46398.74,47086.47,46115.6,46711.85,187404192
6/30/17,46747.19,46831.98,46506.12,46565.29,235703392
7/3/17,46523.33,46565.29,44639.82,44665.41,156487024
7/4/17,44610.69,45686.03,44328.2,45394.06,190106704
7/5/17,45408.68,46358.26,45152.63,45413.42,204263200
7/6/17,45385.9,45579.95,44560.21,44823.11,146620512
7/7/17,44839.14,45291.89,44549.45,45222.15,132366312
7/10/17,45133.46,46332.35,44710.24,46273.81,235297056
7/11/17,45278.17,45278.17,44117.17,44120.58,185093440
7/12/17,43746.75,44205.77,43027.15,43792.19,215169728
7/13/17,43777.62,44121.3,43060.98,43783.55,125518328
7/14/17,43806.39,44466.38,43695.88,44337.44,112138792
7/17/17,44274.93,44630.07,43975.12,44523.21,75287792
7/18/17,44517.52,45669.06,44517.06,45636.36,158319856
7/19/17,45651.26,45808.8,45297.15,45418.7,165516144
7/20/17,45651.57,46087.58,44971.68,45059.93,148128096
7/21/17,44975.2,45382.22,44548.36,45294.39,122452640
7/24/17,45366.3,45566.7,45271.06,45529.2,105856640
7/25/17,45570.34,45939.56,45499.23,45917.9,223579648
