ticker,mkt,previous_close,open,high,low,close,,change,,,volume
FCIBL,FUT,46.69,46.1,46.4,45.5,64.97,-,-0.44,56,1815000,"84,084,195.00"
FCL,FUT,45.99,45.7,45.7,45,6.55,-,-0.3,56,1674000,76165920
FCSC,Reg,280,280,290,280,22.95,+,10,6,6,"1,719.59"
FDPL,Reg,52.11,52.11,53,51.26,1.2,+,0.29,470,572486,"30,077,914.77"
FECM,Reg,23.01,23.02,23.23,22.8,2.2,-,-0.18,847,1682348,"38,738,057.21"
FECTC,FUT,23.43,23.5,23.57,23.15,8,-,-0.28,145,2008500,46999395
FEM,FUT,23.1,23.15,23.4,22.6,32.4,-,-0.2,223,2224500,"51,291,115.00"
FEROZ,Reg,9.53,10.5,10.5,10.5,2.9,+,0.97,1,1,10.5
FEROZ-AUG,Reg,72.58,72.8,73.4,72.5,309.06,-,-0.08,43,92455,"6,756,715.08"
FFBL,Reg,7.9,8.23,8.23,8.17,304.92,+,0.27,2,563,"4,629.71"
FFBL-AUG,Reg,23.49,23.49,23.68,23.45,44.83,+,0.03,148,230432,"5,420,101.48"
FFBL-SEP,Reg,1.34,1.3,1.4,1.29,45.2,-,-0.02,65,104909,"141,974.15"
FFC,Reg,2.21,2.48,2.48,2.12,46,+,0.04,29,14890,"34,220.19"
FFC-AUGB,Reg,5.03,5,5.01,4.9,169.62,-,-0.02,9,4501,"22,525.60"
FFL,Reg,30,30,30,29.51,171.15,-,-0.49,9,54501,"1,632,247.00"
FFL-AUG,Reg,2.78,2.78,2.78,2.6,8.4,-,-0.18,9,12000,"31,392.10"
FHAM,Reg,241,235.05,250,224,8.47,+,0.17,63,11851,"2,791,988.48"
FIBLM,Reg,33.54,33.65,34.4,33.5,16.6,+,0.26,720,1167332,"39,822,656.65"
FIL,FUT,34.13,34.25,34.94,34.25,2.9,+,0.27,51,103000,"3,567,555.00"
FIMM,FUT,33.6,33.95,34.44,33.32,96.33,-,-0.09,105,135500,"4,629,515.00"
FLYNG,Reg,151.78,151.05,160.2,151,173,+,6.72,1651,2183356,"344,990,065.94"
FLYNG-AUG,FUT,154.98,159.95,161.1,159.95,10.01,+,6.12,6,5000,"803,875.00"
FML,FUT,152,154.5,160,154.5,10.12,+,6.1,12,12500,"1,976,250.00"
FNEL,Reg,9.12,9.15,9.2,9.12,79,#ERROR!,0,344,1161689,"10,627,568.21"
FPJM,FUT,9.27,9.3,9.35,9.2,3.35,-,-0.07,168,917500,8539150
FRCL,FUT,9.16,9.17,9.22,9.15,2.07,+,0.01,234,738500,"6,768,300.00"
FRSM,Reg,2.19,2.15,2.2,2.14,17,+,0.01,7,11500,"24,850.30"
